n,pattern,seed,c_star_N,c_star_source,C_N_online,r,n_feasible,k,core_nonempty,core_epsilon,r_star_star,theorem11_applicable,theorem11_fires,runtime_core_lp_sec,note
20,A,7,44.7975,held_karp,54.4697,1.2159,32793,20,False,7.910246,1.1725,True,True,1.79,
20,A,42,42.4518,held_karp,53.5625,1.2617,32793,20,False,9.245003,1.1039,True,True,0.72,
20,A,99,40.9305,held_karp,43.2303,1.0562,32793,20,False,0.827841,1.1129,True,False,1.66,
20,A,123,37.845,held_karp,40.7527,1.0768,32793,20,False,1.63678,1.1117,True,False,0.74,
20,A,256,45.2014,held_karp,55.4406,1.2265,32793,20,False,8.505958,1.0938,True,True,2.14,
20,B2,7,44.7975,held_karp,70.6203,1.5764,1053,10,True,-9.270137,,False,False,0.03,
20,B2,42,42.4518,held_karp,78.3785,1.8463,1073,9,True,-6.718679,,False,False,0.03,
20,B2,99,40.9305,held_karp,72.2697,1.7657,781,9,True,-7.494333,,False,False,0.03,
20,B2,123,37.845,held_karp,70.7415,1.8692,305,8,True,-9.083883,,False,False,0.02,
20,B2,256,45.2014,held_karp,79.2324,1.7529,181,6,True,-7.698626,,False,False,0.02,
20,C,7,44.7975,held_karp,62.1449,1.3872,32793,20,False,15.201682,1.1725,True,True,2.08,
20,C,42,42.4518,held_karp,57.1863,1.3471,32793,20,False,12.687592,1.1039,True,True,1.93,
20,C,99,40.9305,held_karp,55.7906,1.3631,32793,20,False,12.760135,1.1129,True,True,0.72,
20,C,123,37.845,held_karp,51.1015,1.3503,32793,20,False,11.468179,1.1117,True,True,0.69,
20,C,256,45.2014,held_karp,55.4865,1.2275,57348,19,False,3.021901,1.0938,True,True,1.14,
30,A,7,49.4998,lkh,57.573,1.1631,32813,30,,,1.1472,True,True,0.0,core_lp_intractable (|F|=2^30-1)
30,A,42,48.7485,lkh,60.3683,1.2384,32813,30,,,1.0835,True,True,0.0,core_lp_intractable (|F|=2^30-1)
30,A,99,49.3235,lkh,61.6965,1.2509,32813,30,,,1.0937,True,True,0.0,core_lp_intractable (|F|=2^30-1)
30,A,123,50.6486,lkh,52.5496,1.0375,32813,30,,,1.088,True,False,0.0,core_lp_intractable (|F|=2^30-1)
30,A,256,49.7554,lkh,61.9646,1.2454,32813,30,,,1.068,True,True,0.0,core_lp_intractable (|F|=2^30-1)
30,B2,7,49.4998,lkh,86.3323,1.7441,1485,10,True,-10.484962,,False,False,0.04,
30,B2,42,48.7485,lkh,94.5871,1.9403,2545,10,True,-6.932626,,False,False,0.06,
30,B2,99,49.3235,lkh,88.6085,1.7965,2957,11,True,-8.401465,,False,False,0.07,
30,B2,123,50.6486,lkh,84.7622,1.6735,1329,10,True,-9.419966,,False,False,0.03,
30,B2,256,49.7554,lkh,92.938,1.8679,709,9,True,-7.968319,,False,False,0.02,
30,C,7,49.4998,lkh,59.454,1.2011,32813,30,False,8.68074,1.1472,True,True,1.27,
30,C,42,48.7485,lkh,62.6191,1.2845,32813,30,False,12.392499,1.0835,True,True,0.69,
30,C,99,49.3235,lkh,67.5345,1.3692,32813,30,False,16.504378,1.0937,True,True,0.65,
30,C,123,50.6486,lkh,61.2977,1.2103,32813,30,False,9.63815,1.088,True,True,0.71,
30,C,256,49.7554,lkh,67.0124,1.3468,32813,30,False,15.736999,1.068,True,True,0.66,
50,A,7,61.0008,lkh,70.5648,1.1568,32853,50,,,1.0971,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,A,42,57.9094,lkh,68.8993,1.1898,32853,50,,,1.0376,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,A,99,61.1116,lkh,74.7707,1.2235,32853,50,,,1.0674,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,A,123,61.0725,lkh,79.7491,1.3058,32853,50,,,1.0809,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,A,256,59.6851,lkh,70.238,1.1768,32853,50,,,1.0567,True,True,0.0,core_lp_intractable (|F|=2^50-1)
50,B2,7,61.0008,lkh,137.3318,2.2513,4493,11,True,-11.094175,,False,False,0.15,
50,B2,42,57.9094,lkh,122.2686,2.1114,7793,11,True,-9.009015,,False,False,0.15,
50,B2,99,61.1116,lkh,122.0431,1.9971,7373,11,True,-9.965181,,False,False,0.15,
50,B2,123,61.0725,lkh,127.6078,2.0894,3377,10,True,-10.673479,,False,False,0.07,
50,B2,256,59.6851,lkh,130.8941,2.1931,2501,9,True,-9.432523,,False,False,0.05,
50,C,7,61.0008,lkh,77.8993,1.277,32853,50,False,15.878689,1.0971,True,True,0.68,
50,C,42,57.9094,lkh,71.2762,1.2308,32853,50,False,12.29714,1.0376,True,True,0.71,
50,C,99,61.1116,lkh,78.9314,1.2916,32853,50,False,16.785829,1.0674,True,True,0.7,
50,C,123,61.0725,lkh,82.1777,1.3456,32853,50,False,19.881518,1.0809,True,True,0.68,
50,C,256,59.6851,lkh,75.4337,1.2639,32853,50,False,14.674865,1.0567,True,True,2.05,
