n,pattern,seed,c_star_N,c_star_source,C_N_online,r,n_feasible,k,core_nonempty,core_epsilon,r_star_star,theorem11_applicable,theorem11_fires,runtime_core_lp_sec,note
20,A,7,54.4697,held_karp,54.4697,1.0,32773,20,True,-8.103582,,False,False,2.48,
20,A,42,53.5625,held_karp,53.5625,1.0,32773,20,True,-3.657535,,False,False,0.71,
20,A,99,43.2303,held_karp,43.2303,1.0,32773,20,True,-6.318248,,False,False,0.72,
20,A,123,40.7527,held_karp,40.7527,1.0,32773,20,True,-7.202343,,False,False,2.47,
20,A,256,55.4406,held_karp,55.4406,1.0,32773,20,True,-4.317638,,False,False,0.78,
20,B2,7,54.4697,held_karp,70.6203,1.2965,1053,10,True,-9.270137,,False,False,0.03,
20,B2,42,53.5625,held_karp,78.3785,1.4633,1073,9,True,-6.718679,,False,False,0.03,
20,B2,99,43.2303,held_karp,72.2697,1.6717,781,9,True,-7.494333,,False,False,0.03,
20,B2,123,40.7527,held_karp,70.7415,1.7359,305,8,True,-9.083883,,False,False,0.02,
20,B2,256,55.4406,held_karp,79.2324,1.4291,181,6,True,-7.698626,,False,False,0.02,
20,C,7,54.4697,held_karp,62.1449,1.1409,32773,20,True,-9.191118,,False,False,2.41,
20,C,42,53.5625,held_karp,57.1863,1.0677,32773,20,True,-4.738932,,False,False,0.74,
20,C,99,43.2303,held_karp,55.7906,1.2905,32773,20,True,-8.552519,,False,False,2.66,
20,C,123,40.7527,held_karp,51.1015,1.2539,32773,20,True,-7.819495,,False,False,2.44,
20,C,256,55.4406,held_karp,55.4865,1.0008,57347,19,True,-4.161541,,False,False,1.29,
30,A,7,57.573,lkh,57.573,1.0,32783,30,,,,False,False,0.0,core_lp_intractable (|F|=2^30-1)
30,A,42,60.3683,lkh,60.3683,1.0,32783,30,,,,False,False,0.0,core_lp_intractable (|F|=2^30-1)
30,A,99,61.6965,lkh,61.6965,1.0,32783,30,,,,False,False,0.0,core_lp_intractable (|F|=2^30-1)
30,A,123,52.5496,lkh,52.5496,1.0,32783,30,,,,False,False,0.0,core_lp_intractable (|F|=2^30-1)
30,A,256,61.9646,lkh,61.9646,1.0,32783,30,,,,False,False,0.0,core_lp_intractable (|F|=2^30-1)
30,B2,7,57.573,lkh,86.3323,1.4995,1485,10,True,-10.484962,,False,False,0.05,
30,B2,42,60.3683,lkh,94.5871,1.5668,2545,10,True,-6.932626,,False,False,0.06,
30,B2,99,61.6965,lkh,88.6085,1.4362,2957,11,True,-8.401465,,False,False,0.07,
30,B2,123,52.5496,lkh,84.7622,1.613,1329,10,True,-9.419966,,False,False,0.03,
30,B2,256,61.9646,lkh,92.938,1.4999,709,9,True,-7.968319,,False,False,0.02,
30,C,7,57.573,lkh,59.454,1.0327,32783,30,True,-12.340795,,False,False,2.52,
30,C,42,60.3683,lkh,62.6191,1.0373,32783,30,True,-11.776001,,False,False,2.5,
30,C,99,61.6965,lkh,67.5345,1.0946,32783,30,True,-11.425348,,False,False,2.84,
30,C,123,52.5496,lkh,61.2977,1.1665,32783,30,True,-10.726783,,False,False,2.56,
30,C,256,61.9646,lkh,67.0124,1.0815,32783,30,True,-9.439381,,False,False,2.83,
50,A,7,70.5648,lkh,70.5648,1.0,32803,50,,,,False,False,0.0,core_lp_intractable (|F|=2^50-1)
50,A,42,68.8993,lkh,68.8993,1.0,32803,50,,,,False,False,0.0,core_lp_intractable (|F|=2^50-1)
50,A,99,74.7707,lkh,74.7707,1.0,32803,50,,,,False,False,0.0,core_lp_intractable (|F|=2^50-1)
50,A,123,79.7491,lkh,79.7491,1.0,32803,50,,,,False,False,0.0,core_lp_intractable (|F|=2^50-1)
50,A,256,70.238,lkh,70.238,1.0,32803,50,,,,False,False,0.0,core_lp_intractable (|F|=2^50-1)
50,B2,7,70.5648,lkh,137.3318,1.9462,4493,11,True,-11.094175,,False,False,0.12,
50,B2,42,68.8993,lkh,122.2686,1.7746,7793,11,True,-9.009015,,False,False,0.15,
50,B2,99,74.7707,lkh,122.0431,1.6322,7373,11,True,-9.965181,,False,False,0.15,
50,B2,123,79.7491,lkh,127.6078,1.6001,3377,10,True,-10.673479,,False,False,0.07,
50,B2,256,70.238,lkh,130.8941,1.8636,2501,9,True,-9.432523,,False,False,0.06,
50,C,7,70.5648,lkh,77.8993,1.1039,32803,50,True,-13.021087,,False,False,2.99,
50,C,42,68.8993,lkh,71.2762,1.0345,32803,50,True,-11.432122,,False,False,2.68,
50,C,99,74.7707,lkh,78.9314,1.0556,32803,50,True,-11.518995,,False,False,2.73,
50,C,123,79.7491,lkh,82.1777,1.0305,32803,50,True,-12.037787,,False,False,3.11,
50,C,256,70.238,lkh,75.4337,1.074,32803,50,True,-13.634857,,False,False,1.54,
